"","LIDNUM","NAME","LATSTR","LONGSTR","LAT","LONG","ALTITUDE","MAX_AGE","BFA_MAX","BFA_MAX_ABS","FRAC_MAX","MIN_AGE","BFA_MIN","BFA_MIN_ABS","FRAC_MIN","CHRON","AGE_COMM","BASIN","SUBBASIN","COUNTRY","STATE","COUNTY","APNUMSPM","GENERAL","LOC_SYNONYMS","MEAN_HYPSODONTY","ESTIMATE_PRECIP","ESTIMATE_TEMP","ESTIMATE_NPP","PERS_WOODY_COVER","PERS_POLLEN_AP","PERS_POLLEN_NAP","PERS_POLLEN_OTHER","SIDNUM","ORDER","FAMILY","GENUS","SPECIES","SUBCLASSORSUPERORDER","SUBORDERORSUPERFAMILY","SUBFAMILY","UNIQUE","TAXON_STATUS","ID_STATUS","ADD_INFO","SOURCE_NAME","LS_MICROWEAR","LS_MESOWEAR","LS_MESOWEAR_SCORE","LS_MW_OR_HIGH","LS_MW_OR_LOW","LS_MW_CS_SHARP","LS_MW_CS_ROUND","LS_MW_CS_BLUNT","SVLENGTH","BODYMASS","SXDIMSZE","SXDIMDIS","TSHM","TCRWNHT","HORIZODONTY","CROWNTYP","CUSP_SHAPE","CUSP_COUNT_BUCCAL","CUSP_COUNT_LINGUAL","LOPH_COUNT_LON","LOPH_COUNT_TRS","FCT_AL","FCT_OL","FCT_SF","FCT_OT","FCT_CM","MICROWEAR","MESOWEAR","MESOWEAR_SCORE","MW_OR_HIGH","MW_OR_LOW","MW_CS_SHARP","MW_CS_ROUND","MW_CS_BLUNT","DIET_1","DIET_2","DIET_3","LOCOMO1","LOCOMO2","LOCOMO3","SPCOMMENT","SP_SYNONYM","SP_SYNONYM_COMMENT","HOMININ_BONES","BIPEDAL_FOOTPRINTS","CUTMARKS","STONE_TOOLS","TECHNOLOGICAL_MODE_1","TECHNOLOGICAL_MODE_2","TECHNOLOGICAL_MODE_3","CULTURAL_STAGE_1","CULTURAL_STAGE_2","CULTURAL_STAGE_3","REGIONAL_CULTURE_1","REGIONAL_CULTURE_2","REGIONAL_CULTURE_3","hyps"
"1",23190,"Ain Boucherit","35 25 10 N","04 08 10 E",35.419,4.136,"\N",2.5,"mn17","\N","",1.9,"mn17","\N","","","2.44 Ma based on palaeomagnetics: ESR: biochronology and sediment rate.","Atlas","\N","Algeria","","Sétif","\N","y","\N","2.58","\N","\N","\N","\N","\N","\N","\N",25297,"Artiodactyla","Hippopotamidae","Hippopotamus","amphibius","Eutheria","\N","","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","2m-5m","2500000","\N","\N","bun","mes","bra","R2200","R","2","2","0","0","0","1","0","1","0","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","graze","sa","\N","gen_quad","\N","\N","\N",0,0,1,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",2
"2",23190,"Ain Boucherit","35 25 10 N","04 08 10 E",35.419,4.136,"\N",2.5,"mn17","\N","",1.9,"mn17","\N","","","2.44 Ma based on palaeomagnetics: ESR: biochronology and sediment rate.","Atlas","\N","Algeria","","Sétif","\N","y","\N","2.58","\N","\N","\N","\N","\N","\N","\N",27747,"Artiodactyla","Bovidae","Parmularius","altidens","Eutheria","\N","","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","174410","\N","\N","sel","hyp","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","\N","\N",0,0,1,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",3
"3",23190,"Ain Boucherit","35 25 10 N","04 08 10 E",35.419,4.136,"\N",2.5,"mn17","\N","",1.9,"mn17","\N","","","2.44 Ma based on palaeomagnetics: ESR: biochronology and sediment rate.","Atlas","\N","Algeria","","Sétif","\N","y","\N","2.58","\N","\N","\N","\N","\N","\N","\N",28778,"Artiodactyla","Suidae","Kolpochoerus","heseloni","Eutheria","Suoidea","Suinae","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","296977","\N","\N","\N","mes","\N","R2200","R","2","2","0","0","0","0","\N","\N","1","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","te","\N","\N","\N","Kolpochoerus limnetes","Synonymy project",0,0,1,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",2
"4",23190,"Ain Boucherit","35 25 10 N","04 08 10 E",35.419,4.136,"\N",2.5,"mn17","\N","",1.9,"mn17","\N","","","2.44 Ma based on palaeomagnetics: ESR: biochronology and sediment rate.","Atlas","\N","Algeria","","Sétif","\N","y","\N","2.58","\N","\N","\N","\N","\N","\N","\N",29299,"Artiodactyla","Bovidae","Damaliscus","cuiculi","Eutheria","\N","Alcelaphini","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","\N","sel","hyp","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","\N","\N",0,0,1,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",3
"5",23190,"Ain Boucherit","35 25 10 N","04 08 10 E",35.419,4.136,"\N",2.5,"mn17","\N","",1.9,"mn17","\N","","","2.44 Ma based on palaeomagnetics: ESR: biochronology and sediment rate.","Atlas","\N","Algeria","","Sétif","\N","y","\N","2.58","\N","\N","\N","\N","\N","\N","\N",29300,"Artiodactyla","Bovidae","Redunca","eulmensis","Eutheria","\N","Reduncini","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","\N","sel","hyp","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","\N","\N",0,0,1,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",3
"6",23190,"Ain Boucherit","35 25 10 N","04 08 10 E",35.419,4.136,"\N",2.5,"mn17","\N","",1.9,"mn17","\N","","","2.44 Ma based on palaeomagnetics: ESR: biochronology and sediment rate.","Atlas","\N","Algeria","","Sétif","\N","y","\N","2.58","\N","\N","\N","\N","\N","\N","\N",29301,"Artiodactyla","Bovidae","Parantidorcas","latifrons","Eutheria","\N","","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","\N","sel","hyp","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","\N","\N",0,0,1,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",3
"7",23190,"Ain Boucherit","35 25 10 N","04 08 10 E",35.419,4.136,"\N",2.5,"mn17","\N","",1.9,"mn17","\N","","","2.44 Ma based on palaeomagnetics: ESR: biochronology and sediment rate.","Atlas","\N","Algeria","","Sétif","\N","y","\N","2.58","\N","\N","\N","\N","\N","\N","\N",29303,"Artiodactyla","Bovidae","Bos","palaethiopicus","Eutheria","\N","Bovinae","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","\N","sel","hyp","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","\N","\N",0,0,1,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",3
"8",23190,"Ain Boucherit","35 25 10 N","04 08 10 E",35.419,4.136,"\N",2.5,"mn17","\N","",1.9,"mn17","\N","","","2.44 Ma based on palaeomagnetics: ESR: biochronology and sediment rate.","Atlas","\N","Algeria","","Sétif","\N","y","\N","2.58","\N","\N","\N","\N","\N","\N","\N",29304,"Artiodactyla","Bovidae","Gazella","setifensis","Eutheria","\N","Antilopini","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","\N","sel","hyp","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","\N","\N",0,0,1,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",3
"9",23190,"Ain Boucherit","35 25 10 N","04 08 10 E",35.419,4.136,"\N",2.5,"mn17","\N","",1.9,"mn17","\N","","","2.44 Ma based on palaeomagnetics: ESR: biochronology and sediment rate.","Atlas","\N","Algeria","","Sétif","\N","y","\N","2.58","\N","\N","\N","\N","\N","\N","\N",29308,"Artiodactyla","Giraffidae","Libytherium","maurusium","Eutheria","\N","","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","\N","sel","mes","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","\N","\N",0,0,1,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",2
"10",23190,"Ain Boucherit","35 25 10 N","04 08 10 E",35.419,4.136,"\N",2.5,"mn17","\N","",1.9,"mn17","\N","","","2.44 Ma based on palaeomagnetics: ESR: biochronology and sediment rate.","Atlas","\N","Algeria","","Sétif","\N","y","\N","2.58","\N","\N","\N","\N","\N","\N","\N",82362,"Artiodactyla","Bovidae","Connochaetes","tournoueri","Eutheria","\N","Alcelaphini","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","\N","sel","hyp","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","Antilope tournoueri:Oreonagor tournoueri","Thomas: 1884",0,0,1,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",3
"11",23189,"Ain Hanech","35 25 0 N","04 08 0 E",35.417,4.133,"\N",1.83,"\N","ESR","\N",1.6,"\N","ESR","\N","","Given the ESR: paleomagnetic evidence: and sedimentation rate: the most probable age is 1.77 Ma","Atlas","\N","Algeria","","Se´tif","\N","y","Ain Haneh","2.33","\N","\N","\N","\N","\N","\N","\N",25297,"Artiodactyla","Hippopotamidae","Hippopotamus","amphibius","Eutheria","\N","","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","2m-5m","2500000","\N","\N","bun","mes","bra","R2200","R","2","2","0","0","0","1","0","1","0","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","graze","sa","\N","gen_quad","\N","\N","\N",0,0,0,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",2
"12",23189,"Ain Hanech","35 25 0 N","04 08 0 E",35.417,4.133,"\N",1.83,"\N","ESR","\N",1.6,"\N","ESR","\N","","Given the ESR: paleomagnetic evidence: and sedimentation rate: the most probable age is 1.77 Ma","Atlas","\N","Algeria","","Se´tif","\N","y","Ain Haneh","2.33","\N","\N","\N","\N","\N","\N","\N",27928,"Artiodactyla","Giraffidae","Sivatherium","maurusium","Eutheria","\N","Sivatheriinae","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","2648827","\N","\N","sel","bra","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","\N","\N",0,0,0,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",1
